org,repo,activity,comments,prs,commits,issues,authors,pushes,project,url
torvalds,linux,436464,362709,53301,73755,53301,4185,854,Linux,kernel.org
kubernetes+kubernetes-sigs+kubernetes-client+kubernetes-incubator+kubernetes-csi,kubernetes+website+test-infra+minikube+enhancements+cluster-api+kops+kind+community+ingress-nginx+kubespray+autoscaler+cluster-api-provider-aws+kustomize+org+kubebuilder+dashboard+kubeadm+cloud-provider-openstack+perf-tests+cluster-api-provider-vsphere+ingress-gce+controller-runtime+k8s.io+sig-release+release+federation-v2+kube-state-metrics+krew+java+multi-tenancy+cluster-api-provider-openstack+cluster-api-bootstrap-provider-kubeadm+krew-index+external-dns+python+kube-batch+kubefed+cluster-api-provider-azure+aws-alb-ingress-controller+controller-tools+external-snapshotter+gcp-compute-persistent-disk-csi-driver+external-provisioner+aws-ebs-csi-driver+cluster-api-provider-docker+kubectl+node-problem-detector+kube-aws+javascript+docs+cloud-provider-vsphere+csi-driver-host-path+azuredisk-csi-driver+cluster-api-provider-ibmcloud+contributor-playground+client-go+image-builder+k8s-container-image-promoter+cloud-provider-azure+service-catalog+cluster-api-provider-gcp+vsphere-csi-driver+metrics-server+external-storage+external-dns+service-catalog+kompose+node-feature-discovery+azurefile-csi-driver+sig-storage-local-static-provisioner+csharp+external-attacher+cri-tools+windows-testing+klog+aws-iam-authenticator+csi-test+python-base+apiserver-network-proxy+release-notes+service-apis+steering+kube-openapi+metrics-server+git-sync+publishing-bot+external-resizer+aws-efs-csi-driver+repo-infra+dns+cloud-provider-alibaba-cloud+csi-release-tools+etcdadm+kubebuilder-declarative-pattern+contributor-site+haskell+descheduler+alibaba-cloud-csi-driver+aws-fsx-csi-driver+apiserver-builder-alpha+aws-encryption-provider+security+apiserver-builder-alpha+application+sig-windows-tools+examples+reference-docs+cloud-provider-aws+gengo+kubeadm-dind-cluster+sig-storage-lib-external-provisioner+addon-operators+cloud-provider-azure+ruby+blobfuse-csi-driver+ip-masq-agent+dashboard-metrics-scraper+structured-merge-diff+utils+cloud-provider+cli-experimental+apiserver+csi-proxy+cloud-provider-gcp+apimachinery+apiextensions-apiserver+kube-storage-version-migrator+descheduler+legacy-cloud-providers+gen+node-driver-registrar+sample-controller+api+code-generator+gcp-filestore-csi-driver+sample-apiserver+kube-aggregator+csi-lib-utils+cluster-driver-registrar+windows-gmsa+cli-runtime+component-base+metrics+bootkube+yaml+reference-docs+csi-driver-nfs+contrib+csi-translation-lib+node-api+sample-cli-plugin+livenessprobe+csi-driver-iscsi+kube-proxy+kube-scheduler+custom-metrics-apiserver+kube-controller-manager+slack-infra+cluster-proportional-autoscaler+kubelet+bootkube+poseidon+volcano+go+csi-driver-image-populator+cluster-bootstrap+cluster-api-provider-digitalocean+execution-hook+cluster-proportional-vertical-autoscaler+minibroker+csi-lib-iscsi+cli-utils+system-validators+testing_frameworks+drivers+kube-deploy+cri-api+csi-driver-flex+cluster-capacity+architecture-tracking+cluster-registry+legacyflag+csi-driver-fibre-channel+csi-api+perl+funding+frakti+federation+go-open-service-broker-client+node-feature-discovery-operator+sig-usability+driver-registrar+kubernetes-template-project+spartakus+kubernetes-anywhere+csi-lib-fc+cluster-addons+mutating-trace-admission-controller+ip-masq-agent+cloud-provider-sample+ingress-controller-conformance+go-base+discuss-theme+kubernetes-csi-migration-library+cluster-capacity+kubernetes+rktlet+apiserver-builder+scheduler-plugins+relnotes,527371,409372,48851,41084,30435,4119,38713,Kubernetes,kubernetes.io
helm,charts+helm+helm-www+hub+chart-testing+chartmuseum+helm-2to3+monocular+acceptance-testing+community+chart-releaser+kind-action+chart-testing-action+charts-repo-actions-demo+chart-releaser-action+pull-sizer+docker-kubectl-helm-az+kubectl-helm-aws+docker-kubectl-helm-aws,71915,48293,10753,6578,6271,2159,6598,Helm,helm.sh
nodejs,node+nodejs.org+build+node-gyp+modules+nodejs.dev+package-maintenance+node-addon-api+docker-node+quic+TSC+security-wg+admin+ecmascript-modules+community-committee+citgm+nodejs-ko+diagnostics+Release+summit+llnode+website-prototype+readable-stream+node-core-utils+mentorship+benchmarking+user-feedback+nan+github-bot+website-redesign+node-addon-examples+llhttp+bootstrap,98653,69819,13024,7214,7711,919,8099,Node.js,nodejs.org
cncf+crosscloudci,landscape+landscapeapp+k8s-conformance+devstats+kubernetes-community-days+sig-security+apisnoop+toc+gitdm+wg-serverless+cnf-testbed+foundation+ambassadors+wordpress-site+crosscloudci+artwork+cncf-configuration+ci-dashboard+devstats-helm+darst+soc+devstats-docker-images+crosscloudci-trigger+envoy-configuration+velocity+fluentd-configuration+prometheus-configuration+cluster+k8s-infra+cncf.io+kubernetes-configuration+ci_status_repository+ex_ci_proxy+udpa+coredns-configuration+devstatscode+devstats-helm-example+svg-autocrop-serverless+cross-cloud+devstats-helm-lf+devstats-reports+presentations+telecom-user-group+enduser-public+infra-provisioning+sig-app-delivery+financial-user-group+research-user-group+sig-storage+svg-autocrop+cross-project+gitlab-dashboard-updater+linkerd2-configuration+testproj-configuration+devstats-k8s-lf+cncf-branding+contribute+curriculum+surveys+apisnoopregexp+onap-so-configuration+devstats-example+sfdc+hnscraping+linkerd-configuration+merge-sh-dbs+devstats-helm-graphql+da-patroni+y2c+onap-ciservice+cnfs+servicedesk+trailmap+awards+jaeger-configuration+memorials+json2hat-helm+testproj+hugo-netlify-starter+meetups+china-video-block+ci_plugin_travis_go+cloud-native-days+etcd-configuration+svg-website+falco-configuration+devstats-docker-lf+foundation-starter-kit+onap-demo+wg-ci+cr_plugin_github_actions+clone-page-tree+artwork+sig-security-events+sig-network+vitess-configuration+hnanalysis+json2hat+tuf-configuration+sig-runtime+wg-networking+cni-configuration+cri-o-configuration+devstats-kubernetes-dashboard+openpolicyagent-configuration+opentracing-configuration+notary-configuration+rook-configuration+wg-storage+cloudevents-configuration+helm-configuration+tikv-configuration+site-boilerplate+harbor-configuration+cla+ci_plugin_travis_com_go+cr_plugin_circle_ci+nats-configuration+contributors-world-map+grpc-configuration+wp-svg-autocrop+containerd-configuration+udpa-wg+dapatroni+website,29305,9737,5017,11439,2450,625,12101,CNCF,www.cncf.io
grpc+grpc-ecosystem,grpc+grpc-java+grpc-go+grpc-dotnet+grpc-swift+grpc-node+grpc-gateway+grpc-web+grpc-dart+go-grpc-middleware+grpc.io+grpc-health-probe+proposal+awesome-grpc+grpc.github.io+grpc-proto+go-grpc-prometheus+clabot-test+grpc-httpjson-transcoding+grpc-php+grpc-community+polyglot+java-grpc-prometheus+grpc-docker-library+grpc-opentracing+grpc-java-api-checker+grpc-experiments+homebrew-grpc+grift,56046,34542,10998,5725,5528,571,4978,gRPC,grpc.io
prometheus,prometheus+alertmanager+node_exporter+tsdb+docs+client_golang+prombench+blackbox_exporter+procfs+client_python+snmp_exporter+statsd_exporter+pushgateway+jmx_exporter+client_java+client_ruby+cloudwatch_exporter+common+mysqld_exporter+consul_exporter+promu+graphite_exporter+memcached_exporter+talks+prom2json+golang-builder+demo-site+influxdb_exporter+haproxy_exporter+collectd_exporter+busybox+client_model+circleci+nagios_plugins+test-infra,36894,24225,5677,3143,3621,545,3371,Prometheus,prometheus.io
cloudfoundry,cli+cf-deployment+cloud_controller_ng+uaa+bosh+buildpacks-ci+bosh-deployment+capi-release+bosh-linux-stemcell-builder+docs-dev-guide+bosh-vsphere-cpi-release+stratos+diego-release+php-buildpack+routing-release+bosh-bootloader+garden-runc-release+uaa-release+loggregator-release+app-autoscaler+nodejs-buildpack+metric-store-release+cf-acceptance-tests+java-buildpack+bosh-cli+bosh-agent+cf-java-client+docs-buildpacks+app-autoscaler-release+go-buildpack+libcfbuildpack+gorouter+bosh-azure-cpi-release+tlsconfig,34024,8992,2806,16149,1891,458,20335,Cloud Foundry,cloudfoundry.org
jenkinsci,configuration-as-code-plugin+kubernetes-operator+google-compute-engine-plugin+slack-plugin+google-kubernetes-engine-plugin+ec2-fleet-plugin+docker+bitbucket-branch-source-plugin+jenkinsfile-runner+gitlab-plugin+office-365-connector-plugin+docker-plugin+mesos-plugin+bitbucket-push-and-pull-request-plugin+code-coverage-api-plugin+amazon-ecs-plugin+google-storage-plugin+github-autostatus-plugin+openstack-cloud-plugin+lockable-resources-plugin+prometheus-plugin+audit-log-plugin+docker-jnlp-slave+jms-messaging-plugin+azure-ad-plugin+docker-slave+localization-zh-cn-plugin+google-oauth-plugin+stashnotifier-plugin+JenkinsPipelineUnit+cucumber-reports-plugin+kubernetes-cd-plugin+custom-war-packager+java-client-api+docker-swarm-plugin+pipeline-aws-plugin+azure-keyvault-plugin+oic-auth-plugin,24386,14507,3699,3154,2833,421,3347,Jenkins,jenkins.io
PaddlePaddle,Paddle+models+FluidDoc+Paddle-Lite+PaddleHub+X2Paddle+paddle-mobile+PARL+benchmark+PaddleDetection+PaddleSeg+LARK+ERNIE+Fleet+book+Serving+DeepSpeech+Paddle-Lite-Demo,70014,30574,21656,10965,6666,413,11118,PaddlePaddle,paddlepaddle.org
