org,repo,activity,comments,prs,commits,issues,authors,pushes,project,url
torvalds,linux,482569,412420,67188,70149,67188,4544,935,Linux,kernel.org
kubernetes+kubernetes-sigs+kubernetes-client+kubernetes-csi,kubernetes+website+cluster-api+enhancements+test-infra+cluster-api-provider-azure+kueue+minikube+kops+gateway-api+ingress-nginx+cloud-provider-azure+k8s.io+autoscaler+cluster-api-provider-aws+kubespray+cluster-api-provider-vsphere+external-dns+community+kubebuilder+node-feature-discovery+kustomize+ingress-gce+vsphere-csi-driver+org+kwok+controller-runtime+kernel-module-management+aws-load-balancer-controller+cloud-provider-openstack+kind+cluster-api-provider-openstack+azuredisk-csi-driver+kube-state-metrics+image-builder+security-profiles-operator+jobset+dashboard+cloud-provider-gcp+release+gcp-compute-persistent-disk-csi-driver+scheduler-plugins+aws-ebs-csi-driver+metrics-server+aws-efs-csi-driver+cluster-api-provider-ibmcloud+azurefile-csi-driver+descheduler+krew-index+gcp-filestore-csi-driver+sig-release+java+cluster-api-provider-cloudstack+kubectl+javascript+kubeadm+cluster-api-provider-gcp+blob-csi-driver+kube-openapi+python+perf-tests+apiserver-network-proxy+registry.k8s.io+git-sync+e2e-framework+cloud-provider-aws+csharp+kpng+promo-tools+external-provisioner+secrets-store-csi-driver+cri-tools+external-snapshotter+kompose+node-problem-detector+kui+client-go+aws-iam-authenticator+cluster-api-operator+network-policy-api+contributor-site+hierarchical-namespaces+alibaba-cloud-csi-driver+cloud-provider-huaweicloud+kube-scheduler-wasm-extension+ibm-powervs-block-csi-driver+kubebuilder-declarative-pattern+contributor-playground+ingress2gateway+sig-windows-tools+controller-tools+provider-aws-test-infra+csi-driver-nfs+zeitgeist+usage-metrics-collector+cloud-provider-vsphere+kubectl-validate+kube-scheduler-simulator+csi-driver-smb+aws-fsx-csi-driver+aws-fsx-openzfs-csi-driver+sig-storage-local-static-provisioner+node-driver-registrar+cluster-api-provider-packet+apiserver+cluster-api-addon-provider-helm+cluster-api-provider-kubevirt+dra-example-driver+prometheus-adapter+external-attacher+minikube-gui+bom+release-sdk+publishing-bot+utils+csi-driver-host-path+csi-proxy+sig-windows-dev-tools+custom-metrics-apiserver+node-feature-discovery-operator+lwkd+cluster-api-provider-digitalocean+ibm-vpc-block-csi-driver+c+docs+windows-testing+tejolote+nfs-subdir-external-provisioner+dns+sig-security+livenessprobe+krew+downloadkubernetes+azurelustre-csi-driver+boskos+cluster-api-provider-nested+csi-lib-utils+cli-experimental+cluster-api-provider-kubemark+cli-utils+external-resizer+apiextensions-apiserver+sig-storage-lib-external-provisioner+structured-merge-diff+api+cloud-provider-alibaba-cloud+cloud-provider+apimachinery+etcdadm+windows-gmsa+prow+kube-aggregator+windows-service-proxy+csi-release-tools+reference-docs+cluster-proportional-autoscaler+sample-apiserver+code-generator+contributor-tweets+external-health-monitor+nfs-ganesha-server-and-external-provisioner+release-notes+component-base+csi-test+kubetest2+legacy-cloud-providers+pod-security-admission+controller-manager+csi-driver-iscsi+windows-operational-readiness+lib-volume-populator+kubelet+cli-runtime+committee-security-response+gengo+steering+sample-controller+cluster-api-ipam-provider-in-cluster+kube-proxy+logtools+mcs-api+metrics+sample-cli-plugin+porche+gen+aws-file-cache-csi-driver+ip-masq-agent+component-helpers+container-object-storage-interface-controller+volume-data-source-validator+kube-controller-manager+community-images+cri-api+aws-encryption-provider+examples+mount-utils+dynamic-resource-allocation+kube-scheduler+kube-storage-version-migrator+cluster-bootstrap+ingress-controller-conformance+csi-driver-nvmf+csi-translation-lib+kms+haskell+wg-policy-prototypes+cloud-provider-kind+cloud-provider-equinix-metal+funding+release-utils+sig-multicluster-site+kubefed+dashboard-metrics-scraper+apiserver-runtime+iptables-wrappers+cel-admission-webhook+blixt+kube-batch+cluster-proportional-vertical-autoscaler+about-api+cluster-capacity+csi-lib-iscsi+kubebuilder-release-tools+pspmigrator+release-team-shadow-stats+sig-auth-tools+container-object-storage-interface-api+endpointslice+container-object-storage-interface-provisioner-sidecar+system-validators+testgrid-json-exporter+sigs-github-actions+cluster-addons+ruby+work-api+apiserver-builder-alpha+slack-infra+noderesourcetopology-api+kubernetes-template-project+multi-tenancy+application+maintainers+container-object-storage-interface-csi-adapter+instrumentation-tools+csi-driver-image-populator+container-object-storage-interface-spec+kubernetes-csi.github.io+node-api+sig-windows-samples+csi-lib-fc+mdtoc+cluster-inventory-api+cloud-provider-sample+logical-cluster+instrumentation-addons+json+depstat+repo-infra+krm-functions-registry+gluster-file-external-provisioner+cosi-driver-sample+cloud-pv-admission-labeler+go+noderesourcetopology-api+driver-registrar+externalip-webhook+cluster-driver-registrar+instrumentation,449149,340792,44242,42680,18775,3662,45340,Kubernetes,kubernetes.io
open-telemetry,opentelemetry-collector-contrib+opentelemetry-java-instrumentation+opentelemetry.io+opentelemetry-collector+opentelemetry-specification+opentelemetry-dotnet+opentelemetry-dotnet-instrumentation+opentelemetry-go+opentelemetry-operator+opentelemetry-js+opentelemetry-java+opentelemetry-dotnet-contrib+opentelemetry-cpp+opentelemetry-js-contrib+semantic-conventions+opentelemetry-demo+opentelemetry-python-contrib+opentelemetry-python+opentelemetry-helm-charts+opentelemetry-ruby-contrib+opentelemetry-go-contrib+community+opentelemetry-rust+opentelemetry-java-contrib+opentelemetry-go-instrumentation+oteps+opentelemetry-php+opentelemetry-lambda+opentelemetry-go-build-tools+opentelemetry-erlang+opentelemetry-collector-releases+opentelemetry-ruby+opentelemetry-php-contrib+opentelemetry-proto+opentelemetry-swift+opentelemetry-erlang-contrib+opentelemetry-ebpf+opentelemetry-sandbox-web-js+opentelemetry-cpp-contrib+build-tools+opentelemetry-php-instrumentation+opentelemetry-android+opamp-go+opentelemetry-configuration+opentelemetry-java-examples+opentelemetry-java-docs+experimental-arrow-collector+otel-arrow+opamp-spec+sig-security+semantic-conventions-java+opentelemetry-proto-go+assign-reviewers-action+.github+opamp-java+opentelemetry-go-vanityurls+docs-cn+opentelemetry-proto-java+wg-prometheus+otel-arrow-collector+opentelemetry-ebpf-build-tools+opentelemetry-js-api+opentelemetry-profiling+docs-ja+opentelemetry-sqlcommenter,159436,92406,32893,17279,14631,1419,19506,OpenTelemetry,opentelemetry.io
cncf,glossary+landscape+toc+k8s-conformance+tag-contributor-strategy+mentoring+gitdm+tag-env-sustainability+tag-security+cncf.io+devstats+clomonitor+foundation+cnf-testsuite+people+kubernetes-community-days+cncf-fuzzing+clotributor+sandbox+apisnoop+landscape2+gitvote+cluster+landscape-graph+techdocs+artwork+cnf-wg+landscapeapp+tag-observability+cnf-certification+presentations+dot-org-hugo-theme+memorials+shopify-theme+wg-coc+tag-runtime+clo-ui+presentations-website+clowarden+cartografos+velocity+devstats-docker-images+project-template+devstats-helm+devstatscode+landscape2-sites+communitygroups+xds+curriculum+ambassadors+servicedesk+students+devstats-reports+surveys+tag-storage+credits+tag-network+public-sector-user-group+.github+devstats-landscape-sync+web-landscape+awards+cloud-native-community-cookbook+cnf-testbed+cla+hugo-dot-org+devstats-k8s-lf+zero-to-merge+radar+svg-autocrop+enduser-public+migrate-maintainers+china-video-block+wordpress-site+wg-serverless+trailmap+wp-svg-autocrop+landscape2-validate-action+telecom-user-group+transportation-user-group+tag-env-sustainability-website+devstats-example+automation+devstats.archive,36954,15755,9444,8375,2763,1237,8992,CNCF,www.cncf.io
argoproj+argoproj-labs,argo-cd+argo-workflows+argo-helm+argo-rollouts+argo-events+hera+hera-workflows+argocd-operator+argoproj-deployments+argocd-image-updater+argocd-vault-plugin+argoproj+notifications-engine+argocd-autopilot+pkg+argocd-extension-metrics+gitops-engine+argo-ui+argocd-example-apps+applicationset+rollout-extension+rollouts-gatewayapi-trafficrouter-plugin+rollouts-plugin-trafficrouter-contour+rollouts-plugin-trafficrouter-gatewayapi+argocd-extensions+rollouts-plugin-trafficrouter-glooplatform+argo-schema-generator+rollouts-plugin-trafficrouter-glooedge+gordian+rollouts-contour-trafficrouter-plugin+argo-site+rollouts-demo+rollouts-opsmx-metric-plugin+sample-rollouts-metric-plugin+argo-dataflow+homebrew-tap+katacoda-scenarios+argo-cd-benchmarking+old-argo-dataflow+applicationset-hello-plugin+argo-events-client-java+argoproj.github.io+argocd-notifications+rollouts-plugin-metric-sample-prometheus+argo-rollouts-manager+rollouts-plugin-trafficrouter-sample-nginx+argocd-cmp-plugin-examples+argocd-interlace+training-material+rollouts-sample_prometheus-metric-plugin+rollouts-trafficrouter-gatewayapi-plugin+argocd-bot+argo-ci+community,49517,24680,8580,8468,5453,927,10804,Argo,argoproj.github.io
zephyrproject-rtos,zephyr+test_results+twister+west+sdk-ng+zephyr-testing+hal_espressif+gsoc-2022-arduino-core+docker-image+gsoc-2022-thrift+windows-curses+reqmgmt+rtos-benchmark+zscilib+openocd+net-tools,96290,65680,16984,7728,5854,897,7772,Zephyr,www.zephyrproject.org
hyperledger+hyperledger-labs,iroha+besu+solang+aries-vcx+aries-framework-javascript+fabric+aries-cloudagent-python+cacti+aries-mobile-agent-react-native+bevel+firefly+anoncreds-rs+iroha-2-docs+fabric-samples+besu-docs+fabric-token-sdk+toc+private-data-objects+aries-agent-test-harness+weaver-dlt-interoperability+cactus+aries-framework-go+fabric-operations-console+fabric-smart-client+aries-askar+iroha-java+indy-vdr+fabric-gateway+blockchain-explorer+anoncreds-spec+yui-ibc-solidity+fabric-admin-sdk+aries-javascript-docs+firefly-transaction-manager+fabric-docs-i18n+aries-framework-javascript-ext+aries-mobile-test-harness+firefly-common+cello+hyperledger-labs.github.io+harmonia+aries-acapy-docs+orion-server+yui-relayer+aries-mediator-service+fabric-sdk-node+aries-framework-swift+aries-rfcs+firefly-evmconnect+bevel-operator-fabric+fabric-operator+fabric-chaincode-java+fabric-ca+indy-node+firefly-cli+fabric-chaincode-node+fabric-sdk-java+fabric-protos+fablo+iroha-javascript+blockchain-carbon-accounting+firefly-tokens-erc20-erc721+ursa+business-partner-agent+fabric-gateway-java+orion-sdk-go+hlf-connector+indy-plenum+indy-sdk+minifabric+caliper+firefly-sdk-nodejs+hlf-operator+iroha-python+cckit+fabric-ansible-collection+besu-native+fabric-test+firefly-fabconnect+indy-node-container+aries-framework-go-ext+fabric-private-chaincode+indy-node-monitor+firefly-tokens-erc1155+bevel-samples+fabric-builder-k8s+indy-shared-rs+iroha-rfcs+sawtooth-core+anoncreds-clsignatures-rs+aries-acapy-controllers+aries-toolbox+indy-sdk-react-native+documentation-template+microfab+indy-test-automation+firefly-ui+did-webs-resolver+perun-node+sawtooth-docs+firefly-perf-cli+pdo-contracts+aries-endorser-service+iroha-2-examples+sawtooth-lib+fabric-contract-api-go+acapy-java-client+aries-acapy-plugin-toolbox+fabric-config+caliper-benchmarks+aries-socketdock+firefly-sandbox+business-partner-agent-chart+indy-cli-rs+aries-acapy-wallet-upgrade+aries-builder-images+aries-framework-dotnet+fabric-cli+mosaique-decentralized-workflows+yui-corda-ibc+fabric-lib-go+go-perun+aries-acapy-tools+indy-bls-wrapper-python+blockchain-verifier+fabric-chaincode-go+indy-did-method+fabric-protos-go+firefly-ethconnect+minbft+fabric-sdk-py+perun-rs+perun-eth-backend+aries-protocol-test-suite+firefly-helm-charts+mirbft+aries-acapy-plugins+aries-bbssignatures-rs+grid+learning-tokens+perun-eth-contracts+anoncreds-v2-rs+fabric-machine,69044,34019,15363,10948,7403,722,12259,Hyperledger,hyperledger.org
backstage,backstage+charts+demo+community+tempo+mkdocs-techdocs-core+actions+mkdocs-monorepo-plugin+versions+upgrade-helper-diff+techdocs-container+backstage-deploy+frontend-system-exploration+software-templates+archive+backend-system-exploration+test-demo+config-schema-viewer,41635,19493,6174,11042,2212,641,13756,Backstage,backstage.io
nodejs,node+nodejs.org+undici+jenkins-alerts+build+nodejs.dev+help+TSC+security-wg+node-gyp+admin+docker-node+performance+node-addon-api+corepack+citgm+node-core-utils+next-10+node-addon-examples+Release+node-v8+snap+loaders+uvwasi+github-bot+nodejs-dependency-vuln-assessments+llhttp+i18n+readable-stream+package-maintenance+postject+release-cloudflare-worker+unofficial-builds+diagnostics+gyp-next+abi-stable-node+node-api-headers+email+core-validate-commit+nodejs-news-feeder+node-auto-test+create-node-meeting-artifacts+node-core-test+nan+single-executable+modules+cjs-module-lexer+tweet+tooling+tap2junit+changelog-maker+release-keys+full-icu-npm+nodejs-latest-linker+llnode+lts-schedule+.github+loaders-test+reliability+nodejs-dist-indexer+repl+news-feeder,81045,53049,8545,11428,6803,606,12648,Node.js,nodejs.org
jenkinsci,bom+lockable-resources-plugin+acceptance-test-harness+code-coverage-api-plugin+gitlab-plugin+plugin-compat-tester+docker+docker-inbound-agent+docker-agent+pipeline-graph-view-plugin+helm-charts+configuration-as-code-plugin+opentelemetry-plugin+jenkins-test-harness+kubernetes-plugin+plugin-pom+maven-hpi-plugin+docker-ssh-agent+design-library-plugin+gitlab-branch-source-plugin+oic-auth-plugin+datadog-plugin+docker-plugin+jobcacher-plugin+azure-ad-plugin+build-monitor-plugin+nested-data-reporting-plugin+archetypes+peass-ci-plugin+ecu-test-execution-plugin+bitbucket-branch-source-plugin+packaging+junit-plugin+embeddable-build-status-plugin+pom+plugin-installation-manager-tool+custom-folder-icon-plugin+dark-theme-plugin+azure-vm-agents-plugin+azure-keyvault-plugin+generic-webhook-trigger-plugin+nexus-platform-plugin+stapler+build-history-manager-plugin+JenkinsPipelineUnit+amazon-ecs-plugin+slack-plugin+skip-notifications-trait-plugin+jira-plugin+office-365-connector-plugin+cloud-stats-plugin+uipath-automation-package-plugin+aws-secrets-manager-credentials-provider-plugin+autify-plugin+idea-stapler-plugin+winstone+incrementals-tools+github-checks-plugin+jenkinsfile-runner+theme-manager-plugin+dingtalk-plugin+oidc-provider-plugin+junit-sql-storage-plugin+sidebar-link-plugin+conventional-commits-plugin+sshd-plugin+checkmarx-ast-scanner-plugin+checks-api-plugin+dependency-track-plugin+plasticscm-plugin+azure-credentials-plugin+cucumber-reports-plugin+google-oauth-plugin+console-column-plugin+lib-access-modifier+next-executions-plugin+extended-choice-parameter-plugin+lib-file-leak-detector+azure-container-agents-plugin+hashicorp-vault-plugin+tekton-client-plugin+database-plugin+junit-attachments-plugin+google-compute-engine-plugin+jenkins-charm+zulip-plugin+build-timeout-plugin+badge-plugin+.github+ansicolor-plugin+build-name-setter-plugin+gitlab-oauth-plugin+login-theme-plugin+bridge-method-injector+google-kubernetes-engine-plugin+accelq-ci-connect-plugin+dashboard-view-plugin+pipeline-project-env-plugin+maven-jellydoc-plugin+file-parameters-plugin+simple-theme-plugin+github-pr-comment-build-plugin+nunit-plugin+ivy-plugin+hetzner-cloud-plugin+scm-filter-branch-pr-plugin+openstack-cloud-plugin+commons-text-api-plugin+maven-stapler-plugin+jwt-auth-plugin+artifact-repository-parameter-plugin+provar-automation-plugin+parallel-test-executor-plugin+keeper-secrets-manager-plugin+azure-storage-plugin+delphix-plugin+codebuild-cloud-plugin+azure-artifact-manager-plugin+jfrog-plugin+devops-portal-plugin+junit-realtime-test-reporter-plugin+bitbucket-push-and-pull-request-plugin+database-postgresql-plugin+eiffel-broadcaster-plugin+build-time-blame-plugin+license-maven-plugin+google-storage-plugin+groovy-sandbox+jellydoc-maven-plugin+remote-file-plugin+sonar-gerrit-plugin+wxwork-notification-plugin+atlassian-jira-software-cloud-plugin+onepassword-secrets-plugin+compact-columns-plugin+jms-messaging-plugin+localization-zh-cn-plugin+aws-secrets-manager-secret-source-plugin+mstest-plugin+lucene-search-plugin+docker-swarm-plugin+casdoor-auth-plugin+commons-lang3-api-plugin+aws-credentials-plugin+customizable-header-plugin+bootstraped-multi-test-results-report-plugin+categorized-view-plugin+core-pr-tester+mock-load-builder-plugin+syslog-java-client+lib-mock-javamail+log-cli-plugin+servicenow-cicd-plugin+git-push-plugin+ssh2easy-plugin+add-changes-to-build-changelog-plugin+venafi-codesigning-plugin+opentelemetry-agent-metrics-plugin+kubernetes-cd-plugin+docker-inbound-agents+maven-repo-cleaner-plugin+aws-sam-plugin+fortify-plugin+cobertura-plugin+remote-result-trigger-plugin+sonic-ci-helper-plugin+in-toto-plugin+fortify-on-demand-uploader-plugin+cdevents-plugin+material-theme-plugin+generic-event-plugin+core-changelog-generator+gerrit-checks-api-plugin+urltrigger-plugin+envinject-api-plugin+custom-tools-plugin+horreum-plugin+dogu-integration-plugin+google-source-plugin+jobtag-plugin+gitea-checks-plugin+venafi-vcert-plugin+cloudevents-plugin+fstrigger-plugin,37743,12211,9079,16509,2721,483,13732,Jenkins,jenkins.io
