org,repo,activity,comments,prs,commits,issues,authors,pushes,project,url
torvalds,linux,472006,403000,65000,69006,65000,4465,922,Linux,kernel.org
kubernetes+kubernetes-sigs+kubernetes-client+kubernetes-csi,kubernetes+website+kueue+enhancements+cluster-api+test-infra+cluster-api-provider-azure+ingress-nginx+minikube+cluster-api-provider-vsphere+gateway-api+autoscaler+cloud-provider-azure+k8s.io+kubespray+kops+karpenter+cluster-api-provider-aws+external-dns+cluster-api-provider-openstack+community+org+dashboard+kustomize+vsphere-csi-driver+azurefile-csi-driver+cloud-provider-openstack+jobset+aws-load-balancer-controller+controller-runtime+node-feature-discovery+kubebuilder+kind+aws-ebs-csi-driver+azuredisk-csi-driver+ingress-gce+cluster-api-provider-ibmcloud+java+gcp-compute-persistent-disk-csi-driver+blob-csi-driver+kube-state-metrics+kwok+krew-index+cloud-provider-aws+kernel-module-management+security-profiles-operator+release+sig-release+image-builder+javascript+descheduler+aws-efs-csi-driver+alibaba-cloud-csi-driver+kubeadm+lws+ingress2gateway+cloud-provider-vsphere+cluster-api-provider-gcp+external-snapshotter+metrics-server+cluster-api-operator+scheduler-plugins+cloud-provider-gcp+gcp-filestore-csi-driver+kubectl+network-policy-api+perf-tests+contributor-site+cri-tools+node-problem-detector+apiserver-network-proxy+kompose+cluster-api-provider-cloudstack+wg-device-management+controller-tools+python+external-provisioner+lwkd+provider-aws-test-infra+cluster-api-addon-provider-helm+csharp+secrets-store-csi-driver+hydrophone+aws-iam-authenticator+e2e-framework+prow+promo-tools+csi-driver-smb+git-sync+contributor-playground+kube-openapi+kube-scheduler-wasm-extension+csi-driver-nfs+blixt+zeitgeist+ibm-powervs-block-csi-driver+client-go+cluster-api-provider-packet+release-sdk+kubectl-validate+external-resizer+node-feature-discovery-operator+kube-scheduler-simulator+cloud-provider-equinix-metal+csi-driver-host-path+hierarchical-namespaces+apiserver+prometheus-adapter+cloud-provider-kind+external-attacher+node-driver-registrar+windows-testing+cluster-api-ipam-provider-in-cluster+publishing-bot+sig-storage-local-static-provisioner+bom+kubebuilder-declarative-pattern+downloadkubernetes+c+livenessprobe+cluster-api-provider-digitalocean+csi-lib-utils+cluster-api-provider-kubevirt+gengo+tejolote+kube-network-policies+nfs-subdir-external-provisioner+utils+api+reference-docs+registry.k8s.io+docs+aws-fsx-csi-driver+dns+kubetest2+structured-merge-diff+sig-storage-lib-external-provisioner+minikube-gui+usage-metrics-collector+sig-windows-tools+code-generator+ibm-vpc-block-csi-driver+windows-operational-readiness+lib-volume-populator+custom-metrics-apiserver+krew+csi-release-tools+windows-gmsa+cli-utils+apiextensions-apiserver+dra-example-driver+cloud-provider-alibaba-cloud+external-health-monitor+csi-test+apimachinery+sig-security+cloud-provider+azurelustre-csi-driver+apisnoop+kubelet+cluster-inventory-api+knftables+kube-aggregator+sig-windows-dev-tools+cloud-provider-huaweicloud+csi-proxy+csi-driver-iscsi+cluster-proportional-autoscaler+cli-experimental+boskos+steering+sample-apiserver+component-base+legacy-cloud-providers+container-object-storage-interface-controller+sample-controller+committee-security-response+examples+secrets-store-sync-controller+pod-security-admission+aws-fsx-openzfs-csi-driver+kube-proxy+dynamic-resource-allocation+kpng+kube-controller-manager+controller-manager+metrics+aws-encryption-provider+cli-runtime+sample-cli-plugin+cluster-api-provider-kubemark+component-helpers+gen+cluster-api-provider-nested+kube-scheduler+container-object-storage-interface-api+cluster-bootstrap+mdtoc+endpointslice+csi-translation-lib+node-ipam-controller+cri-api+logtools+kms+mount-utils+mcs-api+release-actions+etcdadm+external-snapshot-metadata+release-notes+container-object-storage-interface-provisioner-sidecar+ip-masq-agent+cluster-proportional-vertical-autoscaler+wg-policy-prototypes+apiserver-runtime+ingress-controller-conformance+noderesourcetopology-api+nfs-ganesha-server-and-external-provisioner+release-utils+obscli+kubebuilder-release-tools+referencegrant-poc+cluster-capacity+volume-data-source-validator+kube-storage-version-migrator+windows-service-proxy+work-api+etcd-manager+kui+sig-multicluster-site+cosi-driver-sample+funding+testgrid+sigs-github-actions+cri-client+community-images+about-api+haskell+apiserver-builder-alpha+instrumentation+container-object-storage-interface-spec+pspmigrator+cloud-provider-sample+instrumentation-tools+ruby+cloud-pv-admission-labeler+contributor-tweets+csi-driver-nvmf+iptables-wrappers+kubernetes-csi.github.io+csi-lib-iscsi+system-validators+release-team-shadow-stats+repo-infra+node-api+application+verify-conformance+cel-admission-webhook+dashboard-metrics-scraper+slack-infra+json+aws-file-cache-csi-driver+.github+container-object-storage-interface-csi-adapter,420456,314379,40711,43542,16921,3567,48445,Kubernetes,kubernetes.io
pytorch,pytorch+xla+executorch+rl+test-infra+TensorRT+serve+torchtune+vision+tutorials+benchmark+ao+FBGEMM+tensordict+pytorch.github.io+torchrec+audio+botorch+torchtitan+builder+PiPPy+ignite+data+tnt+torchx+text+kineto+cpuinfo+examples+captum+opacus+glow+torchsnapshot+torcheval+extension-cpp+hub+ort+torcharrow+pytorch_sphinx_theme+csprng,431050,174086,52922,99368,18878,2250,185164,pytorch,pytorch.org
open-telemetry,opentelemetry-collector-contrib+opentelemetry.io+opentelemetry-java-instrumentation+opentelemetry-collector+semantic-conventions+opentelemetry-dotnet+opentelemetry-operator+opentelemetry-go+opentelemetry-go-contrib+opentelemetry-js-contrib+opentelemetry-specification+opentelemetry-rust+opentelemetry-java+opentelemetry-js+opentelemetry-dotnet-contrib+community+opentelemetry-python+opentelemetry-go-instrumentation+opentelemetry-python-contrib+opentelemetry-cpp+opentelemetry-dotnet-instrumentation+opentelemetry-ruby-contrib+opentelemetry-demo+opentelemetry-helm-charts+opentelemetry-android+opentelemetry-java-contrib+opentelemetry-php+opentelemetry-lambda+oteps+opentelemetry-collector-releases+opentelemetry-erlang-contrib+opentelemetry-erlang+opentelemetry-ruby+otel-arrow+opentelemetry-java-examples+weaver+opentelemetry-go-build-tools+opentelemetry-php-contrib+opentelemetry-proto+opamp-go+opentelemetry-swift+build-tools+opentelemetry-cpp-contrib+sig-security+opentelemetry-rust-contrib+semantic-conventions-java+opentelemetry-php-instrumentation+opentelemetry-configuration+opentelemetry-sandbox-web-js+opamp-spec+opentelemetry-proto-go+sig-end-user+opentelemetry-network+opentelemetry-ebpf+.allstar+stackoverflow2slack+opentelemetry-proto-java+cpp-build-tools+otel-arrow-collector+sig-mainframe+docs-cn+.github+opamp-java+wg-prometheus+opentelemetry-sqlcommenter+assign-reviewers-action+docs-ja+opentelemetry-profiling+opentelemetry-go-vanityurls+experimental-arrow-collector,189051,105828,37716,23895,16127,1591,29380,OpenTelemetry,opentelemetry.io
cncf,glossary+toc+landscape+tag-env-sustainability+tag-security+k8s-conformance+landscape2+gitdm+tag-contributor-strategy+foundation+mentoring+people+devstats+kubernetes-community-days+cncf.io+sandbox+clomonitor+communitygroups+cnf-testsuite+techdocs+tag-runtime+landscape-graph+cnf-wg+tag-observability+dot-org-hugo-theme+clotributor+cncf-fuzzing+artwork+clowarden+landscape2-sites+gitvote+presentations+cluster+apisnoop+xds+presentations-website+shopify-theme+velocity+contribcard+clo-ui+cnf-certification+landscapeapp+ambassadors+memorials+devstats-docker-images+devstatscode+tag-network+devstats-helm+devstats-reports+curriculum+cartografos+servicedesk+zero-to-merge+tag-storage+llm-starter-pack+kubestronaut+project-template+surveys+public-sector-user-group+.github+devstats-landscape-sync+homebrew-landscape2+clbo+wg-serverless+hugo-netlify-starter+foundation-starter-kit+awards+contribcard-sites+cla+devstats-example+subdomain-redirector+firstcontribution.dev+devstats-k8s-lf+landscape2-validate-action+tab+china-video-block+students+cnf-testbed+web-landscape+prometheus-conformance+svg-autocrop+trailmap,37047,16203,9147,8341,2782,1252,8915,CNCF,www.cncf.io
zephyrproject-rtos,zephyr+test_results+reqmgmt+sdk-ng+west+hal_espressif+infrastructure+gsoc-2022-arduino-core+docker-image+windows-curses+action-zephyr-setup+net-tools+zscilib+openocd,117403,81287,20864,8980,6251,1044,9001,Zephyr,www.zephyrproject.org
argoproj+argoproj-labs,argo-cd+argo-workflows+argo-helm+argo-rollouts+hera+argocd-operator+argo-events+argocd-image-updater+argoproj-deployments+argoproj+argocd-vault-plugin+notifications-engine+gitops-engine+argo-ui+argocd-autopilot+rollouts-plugin-trafficrouter-gatewayapi+pkg+argocd-example-apps+argo-rollouts-manager+rollouts-plugin-trafficrouter-contour+argocd-extension-metrics+rollouts-plugin-trafficrouter-consul+rollout-extension+argo-site+training-material+argocd-rbac-operator+applicationset+terraform-provider-argocd+gordian+argocd-extension-installer+rollouts-plugin-trafficrouter-openshift+rollouts-plugin-trafficrouter-glooplatform+rollouts-plugin-trafficrouter-glooedge+rollouts-demo+argo-kube-notifier+argo-schema-generator+community+argoproj.github.io+rollouts-plugin-metric-honeycomb+argo-cd-benchmarking+argocd-extensions+argocd-ext-installer+homebrew-tap+argocd-ephemeral-access+.github+argocd-notifications+argocd-cmp-plugin-examples+old-argo-dataflow+applicationset-hello-plugin+argocd-bot+argo-workflows-python-executor-plugin+argocd-interlace+.github,51806,27125,8760,7888,5148,913,10773,Argo,argoproj.github.io
hyperledger+hyperledger-labs,iroha+besu+aries-cloudagent-python+cacti+aries-vcx+fabric+open-enterprise-agent+solang+fabric-token-sdk+identus-cloud-agent+besu-docs+aries-acapy-plugins+fabric-smart-client+bevel+aries-mobile-agent-react-native+aries-framework-javascript+firefly+iroha-2-docs+toc+fabric-operations-console+anoncreds-rs+private-data-objects+governance+aries-agent-test-harness+aries-askar+yui-relayer+indy-vdr+caliper+fabric-samples+iroha-java+anoncreds-spec+firefly-common+yui-ibc-solidity+pdo-contracts+fabric-gateway+firefly-cli+besu-native+hyperledger-labs.github.io+aries-acapy-docs+cello+blockchain-explorer+aries-rfcs+indy-sdk+fabric-private-chaincode+fablo+besu-verkle-trie+indy-node+aries-framework-swift+web3j+fabric-admin-sdk+did-webs-resolver+aries-endorser-service+firefly-transaction-manager+fabric-operator+aries-mediator-service+governance+hlf-connector+fabric-docs-i18n+firefly-evmconnect+bevel-operator-fabric+fabric-ca+fabric-protos+aries-mobile-test-harness+iroha-python+harmonia+fabric-builder-k8s+fabric-chaincode-java+aries-framework-kotlin+fabric-ansible-collection+aries-akrida+anoncreds-clsignatures-rs+weaver-dlt-interoperability+iroha-javascript+identus+firefly-tokens-erc20-erc721+bevel-samples+firefly-signer+iroha-rfcs+indy-plenum+firefly-fabconnect+fabric-chaincode-node+indy-shared-rs+aries-framework-go+fabric-sdk-node+fabric-contract-api-go+SmartBFT+caliper-benchmarks+firefly-helm-charts+aries-uniffi-wrappers+perun-eth-backend+anoncreds-v2-rs+splice+fabric-sdk-java+fabric-chaincode-go+cc-tools-demo+iroha-2-examples+firefly-perf-cli+aries-acapy-controllers+indy-node-container+indy-cli-rs+cc-tools+firefly-sdk-nodejs+orion-sdk-go+solang-aqd+sawtooth-core+aries-socketdock+identus-keycloak-plugins+fabric-sdk-go+aries-acapy-tools+microfab+aries-framework-javascript-ext+go-perun+fabric-lib-go+fabric-sdk-py+perun-node+indy-test-automation+sawtooth-docs+fabric-gateway-java+web3j-sokt+aries-javascript-docs+acapy-java-client+web3j-solidity-gradle-plugin+bdls+fabric-test+indy-node-monitor+aifaq+fabric-config+learning-tokens+minifabric+sawtooth-lib+sawtooth-sdk-python+firefly-dataexchange-https+orion-server+fabric-cli+sawtooth-pbft+aries-framework-dotnet+aries-builder-images+aries-toolbox+benchmarking-cross-chain-bridge-aggregators+aries-bbssignatures-rs+firefly-samples,67288,29611,15678,12955,6531,731,15468,Hyperledger,hyperledger.org
nodejs,node+nodejs.org+undici+jenkins-alerts+build+help+corepack+TSC+node-gyp+security-wg+admin+citgm+docker-node+release-cloudflare-worker+node-core-utils+node-addon-api+performance+node-v8+loaders+node-addon-examples+llhttp+gyp-next+Release+unofficial-builds+snap+next-10+remark-preset-lint-node+uvwasi+package-maintenance+github-bot+nodejs-news-feeder+web-server-frameworks+nodejs-dependency-vuln-assessments+email+diagnostics+api-docs-tooling+readable-stream+create-node-meeting-artifacts+cjs-module-lexer+tap2junit+nan+abi-stable-node+changelog-maker+import-in-the-middle+undici-website+nodejs-dist-indexer+nodejs-latest-linker+node-api-headers+primordials-use-cases+.github+examples+core-validate-commit+node-code-ide-configs+ci-config-travis,86823,52369,9496,16562,6833,700,18125,Node.js,nodejs.org
backstage,backstage+community-plugins+demo+charts+mkdocs-techdocs-core+community+backstage-deploy+mkdocs-monorepo-plugin+versions+upgrade-helper-diff+actions+techdocs-container+software-templates,49707,20844,7721,13070,2545,642,18597,Backstage,backstage.io
