org,repo,activity,comments,prs,commits,issues,authors,pushes,project,url
kubernetes+kubernetes-incubator+kubernetes-sigs+kubernetes-client+kubernetes-csi,kubernetes+test-infra+website+community+kops+ingress-nginx+minikube+kubespray+cluster-api+autoscaler+kubeadm+enhancements+service-catalog+federation-v2+kustomize+cluster-api-provider-aws+kind+kubespray+cloud-provider-openstack+org+ingress-gce+dashboard+perf-tests+aws-alb-ingress-controller+cri-o+kubebuilder+sig-release+external-dns+external-storage+controller-runtime+kube-aws+kube-state-metrics+features+java+cluster-api-provider-openstack+python+kubectl+contributor-playground+kube-batch+gcp-compute-persistent-disk-csi-driver+external-provisioner+cloud-provider-vsphere+metrics-server+aws-ebs-csi-driver+cluster-api-provider-vsphere+javascript+client-go+poseidon+cluster-api-provider-azure+release+kube-openapi+controller-tools+kubeadm-dind-cluster+k8s.io+csharp+kompose+docs+kube-arbitrator+external-snapshotter+cloud-provider-azure+cloud-provider-gcp+heapster+csi-test+aws-iam-authenticator+publishing-bot+bootkube+structured-merge-diff+kube-deploy+kubernetes-docs-zh+dns+application+contrib+node-problem-detector+node-feature-discovery+steering+utils+external-attacher+python-base+git-sync+cri-tools+apiserver+cluster-api-provider-gcp+repo-infra+kubernetes-docs-cn+descheduler+cri-tools+examples+cluster-registry+csi-driver-host-path+kubernetes-docs-ko+apiextensions-apiserver+gcp-filestore-csi-driver+driver-registrar+drivers+node-feature-discovery+sig-storage-local-static-provisioner+sample-controller+apimachinery+windows-testing+gen+sample-apiserver+kubernetes-anywhere+klog+apiserver-builder+kube-aggregator+kubernetes-docs-ja+cluster-driver-registrar+haskell+federation+gengo+csi-lib-utils+kube-storage-version-migrator+code-generator+frakti+cloud-provider-aws+external-resizer+custom-metrics-apiserver+kubebuilder-declarative-pattern+sig-storage-lib-external-provisioner+api+cloud-provider+node-driver-registrar+cloud-provider-alibaba-cloud+reference-docs+architecture-tracking+cluster-api-provider-digitalocean+livenessprobe+apiserver-builder-alpha+go+metrics+contributor-site+ruby+security+cluster-proportional-autoscaler+yaml+testing_frameworks+csi-release-tools+ip-masq-agent+azuredisk-csi-driver+k8s-container-image-promoter+windows-gmsa+kubernetes-template-project+csi-api+cli-runtime+sample-cli-plugin+csi-lib-iscsi+csi-driver-iscsi+cluster-capacity+etcdadm+mutating-trace-admission-controller++kube-scheduler+csi-driver-nfs+cluster-bootstrap+kubernetes-csi-migration-library+kube-controller-manager+azurefile-csi-driver+go-base+kube-proxy+node-api+csi-driver-fibre-channel+aws-encryption-provider+dashboard-metrics-scraper+kubelet+csi-translation-lib+typescript+kubernetes-csi.github.io+component-base+spartakus+perl+kubernetes-bootcamp+cloud-provider-sample+csi-driver-image-populator+multi-tenancy+csi-lib-fc+alb-ingress-controller+resources+krew+krew-index+cluster-proportional-vertical-autoscaler+community+rktlet+common+addon-operators+slack-infra+cli-experimental+++csi-driver-flex+cri-api,423682,327197,41512,35551,25510,3557,29463,Kubernetes,kubernetes.io
helm+kubernetes+kubernetes-helm,charts+charts+helm+helm+chart-testing+monocular+helm-www+community+chartmuseum+chartmuseum+hub+monocular+chart-releaser+community+github-webhook-dco-labeler+query-store-quay-logs+chart-testing+pull-sizer+rudder-appcontroller+charts-check-pr-title+repo-audit+specs+rudder-federation+charts-tooling+helm-summit-notes+prow+charts-classic+get-helm,60042,42324,8327,4904,4480,1522,4911,Helm,helm.sh
grpc+grpc-ecosystem,grpc+grpc-java+grpc-go+grpc-gateway+grpc-node+grpc-swift+grpc-web+grpc-dotnet+grpc.github.io+proposal+grpc-dart+grpc-proto+go-grpc-middleware+go-grpc-prometheus+awesome-grpc+grpc-experiments+grpc-health-probe+polyglot+grpc-docker-library+grpc-opentracing+grpc-httpjson-transcoding+grpc-php+grpc-community+java-grpc-prometheus+grpc-java-api-checker+grpc-contrib+homebrew-grpc++grpc-exchange-o-gram++grpc-haskell,50649,31538,9527,5860,5231,523,4353,gRPC,grpc.io
prometheus,prometheus+alertmanager+tsdb+node_exporter+docs+client_golang+snmp_exporter+blackbox_exporter+client_python+prombench+client_java+mysqld_exporter+jmx_exporter+statsd_exporter+cloudwatch_exporter+procfs+pushgateway+common+graphite_exporter+promu+client_ruby+haproxy_exporter+golang-builder+busybox+memcached_exporter+consul_exporter+prom2json+client_model+influxdb_exporter+test-infra+talks+nagios_plugins+collectd_exporter+demo-site+demo+prometheus_api_client_ruby,35522,24332,4694,4320,3527,503,2969,Prometheus,prometheus.io
cncf+crosscloudci,landscape+devstats+k8s-conformance+gitdm+toc+landscapeapp+cnfs+apisnoop+cross-cloud+crosscloudci+cnf-testbed+cluster+cncf-configuration+soc+artwork+velocity+svg-autocrop+ambassadors+foundation+wg-serverless+ci-dashboard+devstats-example+presentations+onap-demo+contribute+ci_status_repository+prometheus-configuration+envoy-configuration+coredns-configuration+curriculum+crosscloudci-trigger+devstats-website+kubernetes-configuration+fluentd-configuration+enduser-public+servicedesk+onap-so-configuration+awards+devstatscode+json2hat+devstats-k8s-lf+linkerd-configuration+trailmap+wg-ci+artwork+devstats-docker-images+wg-networking+devstats-docker-lf+build+svg-website+meetups+hnanalysis+devstats-helm-lf+docs-in-a-box+gitlab-dashboard-updater+onap-ciservice+cross-project+json2hat-helm+site-boilerplate+cla+landscape-trailmap,17972,5109,2867,7721,1784,442,8212,CNCF,www.cncf.io
envoyproxy,envoy+envoyproxy.github.io+envoy-filter-example+data-plane-api+envoy-perf+go-control-plane+java-control-plane+envoybot+envoy-tools++katacoda-scenarios+sql-parser,42059,29182,4773,6491,1930,283,6174,Envoy,www.envoyproxy.io
fluent,fluent-bit+fluentd+fluentd-kubernetes-daemonset+fluentd-docs+fluent-bit-docs+fluentd-ui+fluentd-docker-image+fluent-plugin-kafka+fluent-logger-node+fluent-plugin-s3+fluent-plugin-prometheus+fluentd-website+fluentd-docs-gitbook+fluent-plugin-rewrite-tag-filter+fluent-plugin-grok-parser+fluent-bit-kubernetes-logging+fluent-plugin-mongo+fluent-logger-python+fluent-bit-docker-image+fluent-plugin-sql+fluent-logger-golang+fluent-logger-java+fluent-logger-ruby+fluent-plugin-splunk+fluent-logger-php+fluent-bit-packaging+fluent-plugin-webhdfs+fluent-plugin-scribe+fluent-plugin-windows-eventlog+fluent-bit-go+fluent-logger-perl+fluent-plugin-multiprocess+NLog.Targets.Fluentd+nginx-fluentd-module+data-collection+fluent-bit-website+kafka-connect-fluentd+fluentbit-dashboard,9943,4920,1835,3374,1565,254,1623,Fluentd,fluentd.org
jaegertracing,jaeger+jaeger-operator+jaeger-client-java+jaeger-ui+documentation+jaeger-client-csharp+jaeger-client-python+jaeger-client-go+jaeger-client-node+jaeger-client-cpp+jaeger-kubernetes+spark-dependencies+jaeger-lib+jaeger-openshift+jaeger-performance+legacy-client-java+jaeger-idl+jaeger-analytics+cpp-client+xdock-zipkin-brave+jaeger-client-javascript+artwork+,16038,10464,2295,1532,1640,182,1639,Jaeger,jaeger.readthedocs.io/en/latest
nats-io,gnatsd+nats-streaming-server+go-nats+nats-operator+java-nats+nats-site+cnats+node-nats+go-nats-streaming+ts-nats+node-nats-streaming+csharp-nats-streaming+nsc+java-nats-streaming+csharp-nats+asyncio-nats+nats-streaming-operator+jwt+python-nats+prometheus-nats-exporter+latency-tests+go-nats-examples+nkeys+nats-rest-config-proxy+ruby-nats+asyncio-nats-streaming+ts-nkeys+nats-streaming-docker+nats-general+nginx-nats+go-cloud+official-images+docker-docs+ruby-nats-streaming+pure-ruby-nats+elixir-nats+node-nuid+nats-docker+node-nats-examples+asyncio-nats-examples+nats-top+ts-nats-examples+nuid+js-nuid+ruby-nats-examples+graft+nats-connector-redis+nats-connector-framework+nats+roadmap+java-nats-examples,9811,4407,1692,4521,1253,132,2459,NATS,nats.io
etcd-io+coreos,etcd+etcd+jetcd+bbolt+website,7991,4800,1275,1737,1024,128,892,etcd,coreos.com/etcd
