org,repo,activity,comments,prs,commits,issues,authors,project,url
kubernetes+kubernetes-client+kubernetes-incubator,kubernetes+test-infra+kops+website+kubernetes.github.io+community+minikube+ingress-nginx+ingress+autoscaler+heapster+kubernetes-docs-cn+examples+cloud-provider-azure++kube-ui+cloud-provider-openstack+kubernetes-bootcamp+cloud-provider-gcp+common+cloud-provider-aws+md-check+cloud-provider-vsphere+sample-controller+code-generator+apiextensions-apiserver+kubernetes-template-project+federation+apimachinery+apiserver+api+kube-aggregator+publishing-bot+sample-apiserver+cluster-registry+metrics+utils+git-sync+steering+repo-infra+kube-deploy+sig-release+gengo+node-problem-detector+kubectl+contrib+client-go+perf-tests+kube-openapi+kubernetes-anywhere+ingress-gce+dns+kubeadm+release+k8s.io+frakti+kompose+kube-state-metrics+features+dashboard+community+go-base+ruby+python+typescript+go+haskell+javascript+python-base+gen+csharp+java+cri-o+kubespray+kube-aws+external-storage+external-dns+cri-tools+application-images++nfs-provisioner+cluster-proportional-autoscaler+kube-mesos-framework+kargo+spartakus+cluster-proportional-vertical-autoscaler+ip-masq-agent+reference-docs+custom-metrics-apiserver+kompose+descheduler+metrics-server+cluster-capacity+rktlet+node-feature-discovery+client-python+kube-arbitrator+cri-containerd+apiserver-builder+bootkube+service-catalog,327969,236791,48951,14301,27926,2144,Kubernetes,kubernetes.io
helm+kubernetes+kubernetes-helm,charts-classic+helm-classic+monocular+helm-www+charts+helm+rudder-federation+monocular+chartmuseum,35701,24025,6781,1832,3063,587,Helm,helm.sh
prometheus,prometheus+node_exporter+docs+prometheus.github.io+client_model+talks+demo+busybox+prombench+memcached_exporter+prometheus_api_client_ruby+demo-site+influxdb_exporter+nagios_plugins+cloudwatch_exporter+collectd_exporter+consul_exporter+prom2json+graphite_exporter+golang-builder+haproxy_exporter+promu+client_ruby+pushgateway+statsd_exporter+mysqld_exporter+procfs+common+client_python+snmp_exporter+client_golang+jmx_exporter+blackbox_exporter+client_java+tsdb+alertmanager,27567,16191,4315,3144,3917,525,Prometheus,prometheus.io
grpc+grpc-ecosystem,grpc+grpc-go+grpc.github.io+grpc-experiments+grpc-haskell+homebrew-grpc+grpc-php+grpc-java-api-checker+grpc-dart+grpc-contrib+grpc-web+grpc-proto+grpc-docker-library+grpc-node+grpc-swift+proposal+grpc-java+meetup-kit+grift+java-grpc-prometheus+grpc-opentracing+grpc-httpjson-transcoding+awesome-grpc+polyglot+go-grpc-prometheus+go-grpc-middleware+grpc-gateway,42458,22315,9867,4342,5934,486,gRPC,grpc.io
cncf+crosscloudci,k8s-conformance+toc+cnfs+servicedesk+gha2pg+contribute+hnanalysis+enduser+cluster+filterable-landscape+awards+cross-project+demo+curriculum+meetups+foundation+velocity+apisnoop+onap-demo+wg-storage+gha2db+wg-networking+ambassadors+wg-ci+artwork+cross-cloud+devstats+soc+gitdm+presentations+wg-serverless+landscape+fluentd-configuration+ci_status_repository+onap-ciservice+prometheus-configuration+build+artwork+coredns-configuration+ci-dashboard+crosscloudci-trigger+crosscloudci+cross-project+kubernetes-configuration+onap-so-configuration+linkerd-configuration+cncf-configuration+cross-cloud,13194,3853,1604,6339,1398,297,CNCF,www.cncf.io
lyft+envoyproxy,envoy+envoy+data-plane-api++artwork+control-plane+envoy-tools+java-control-plane+go-control-plane+envoy-filter-example+envoyproxy.github.io,20248,9662,4490,4526,1570,244,Envoy,github.com/envoyproxy
fluent,fluentd-forwarder+data-collection+fluent-logger-scala+fluent-plugin-multiprocess+fluent-plugin-scribe+fluent-plugin-grok-parser+fluent-plugin-splunk+fluent-logger-perl+fluent-bit-kubernetes-daemonset+NLog.Targets.Fluentd+fluent-bit-go+fluent-logger-java+fluent-logger-php+fluentd-benchmark+fluent-plugin-flume+fluent-bit-packaging+fluentd-ui+fluent-plugin-mongo+fluent-plugin-windows-eventlog+fluent-logger-ruby+fluent-plugin-webhdfs+fluent-bit-kubernetes-logging+kafka-connect-fluentd+fluent-logger-golang+fluentd-docker-image+fluent-bit-docker-image+fluent-plugin-sql+fluent-plugin-rewrite-tag-filter+fluent-plugin-prometheus+fluent-logger-python+fluent-logger-node+fluent-plugin-s3+fluent-plugin-kafka+fluentd-website+fluent-bit-docs+fluentd-kubernetes-daemonset+fluent-bit+fluentd+fluentd-docs,8902,4283,1546,1741,1332,192,Fluentd,fluentd.org
uber+jaegertracing,jaeger+jaeger+test-repo-move+cpp-client-hunter-cache+jaeger-client-javascript+go-repo-move-test+xdock-zipkin-brave+spark-dependencies+jaeger-performance+legacy-client-java+artwork+cpp-client+jaeger-client-cpp+jaeger-lib+jaeger-kubernetes+jaeger-idl+jaeger-ui+jaeger-openshift+jaeger-client-csharp+jaeger-client-node+documentation+jaeger-client-go+jaeger-client-java+jaeger-client-python,10159,4866,1973,2012,1308,132,Jaeger,jaeger.readthedocs.io/en/latest
nats-io,nats-top+csharp-nats-streaming+nats-on-a-log+nkeys+js-nuid+nats-connector-redis+nats-connector-framework+nats-docker+nginx-nats+node-nuid+graft+nuid+cnats+prometheus-nats-exporter+pure-ruby-nats+nats-streaming-docker+roadmap+ruby-nats+nats-operator+java-nats-streaming+asyncio-nats-streaming+ruby-nats-streaming+node-nats+node-nats-streaming+elixir-nats+asyncio-nats+go-nats-streaming+nats-streaming-server+java-nats+csharp-nats+python-nats+docker-docs+go-nats+official-images+nats-site+gnatsd,5932,2194,1278,1633,827,124,NATS,nats.io
docker+containerd,containerd+containerd+project+typeurl+zfs+fifo+btrfs+aufs+go-cni+console+cri-containerd+go-runc+cgroups+continuity+cri,11314,6425,2701,1241,947,124,containerd,containerd.io
