org,repo,activity,comments,prs,commits,issues,authors,project,url
kubernetes+kubernetes-incubator+kubernetes-client+GoogleCloudPlatform,kubernetes+test-infra+kubernetes.github.io+kops+charts+service-catalog+helm+ingress+cri-o+community+minikube+dashboard+contrib+kargo+kubeadm+heapster+bootkube+kube-aws+features+kompose+kubespray+external-dns+external-storage+cri-containerd+autoscaler+client-python+client-go+kube-state-metrics+release+frakti+kubernetes-anywhere+ingress-nginx+website+cri-tools+dns+kompose+federation+node-problem-detector+apiserver-builder+examples+java+kubectl+ingress-gce+gengo+kube-deploy+rktlet+k8s.io+perf-tests+cluster-capacity+nfs-provisioner+cluster-registry+git-sync+repo-infra+kube-arbitrator+gen+csharp+node-feature-discovery+python-base+apimachinery+utils+kube-mesos-framework+sig-release+metrics-server+spartakus+cluster-proportional-autoscaler+apiserver+reference-docs+descheduler+code-generator+apiextensions-apiserver+kube-openapi+sample-apiserver+pr-bot+typescript+kube-aggregator+metrics+api+steering+ip-masq-agent+kubernetes-bootcamp+cluster-proportional-vertical-autoscaler+kubernetes-workshops+custom-metrics-apiserver+kubernetes-template-project+community+application-images+ruby+sample-controller+kubernetes-docs-cn+md-check+common+kube-ui+javascript,391452,278707,58975,20782,32988,2380,Kubernetes,kubernetes.io
prometheus,prometheus+alertmanager+node_exporter+docs+snmp_exporter+blackbox_exporter+client_java+tsdb+client_golang+jmx_exporter+client_python+mysqld_exporter+prometheus.github.io+pushgateway+common+procfs+statsd_exporter+client_ruby+cloudwatch_exporter+promu+consul_exporter+haproxy_exporter+prombench+prom2json+golang-builder+graphite_exporter+influxdb_exporter+collectd_exporter+memcached_exporter+nagios_plugins+client_model+busybox+promdash+demo,26660,15490,3979,3403,3788,423,Prometheus,prometheus.io
grpc+grpc-ecosystem,grpc+grpc-java+grpc-go+grpc-gateway+grpc.github.io+grpc-swift+go-grpc-middleware+proposal+grpc-node+polyglot+grpc-opentracing+grpc-haskell+grpc-httpjson-transcoding+grpc-docker-library+go-grpc-prometheus+homebrew-grpc+grpc-experiments+grpc-proto+grift+grpc-contrib+grpc-simon-says+java-grpc-prometheus+grpc-exchange-o-gram+meetup-kit+grpc-php,38526,20302,8885,3972,5367,369,gRPC,grpc.io
fluent,fluentd+fluent-bit+fluentd-docs+fluent-plugin-kafka+fluentd-docker-image+fluentd-kubernetes-daemonset+fluent-plugin-s3+fluentd-website+fluent-bit-docs+fluent-logger-node+fluent-plugin-rewrite-tag-filter+fluent-plugin-webhdfs+fluent-logger-python+fluent-plugin-grok-parser+fluent-logger-ruby+fluent-plugin-mongo+fluent-bit-kubernetes-daemonset+kafka-connect-fluentd+fluent-logger-golang+fluent-bit-docker-image+fluent-logger-perl+fluent-plugin-sql+fluent-plugin-windows-eventlog+fluent-bit-go+fluentd-ui+fluent-logger-scala+fluent-logger-java+fluentd-forwarder+fluent-logger-php+NLog.Targets.Fluentd+fluent-plugin-multiprocess+fluent-bit-packaging+fluent-plugin-flume+fluentd-benchmark+nginx-fluentd-module+data-collection+fluent-bit-docker+fluentd-docs-kubernetes+fluent-plugin-scribe,8618,3862,1334,2309,1113,157,Fluentd,fluentd.org
lyft+envoyproxy,envoy+envoy+data-plane-api+envoyproxy.github.io+go-control-plane+envoy-filter-example+artwork+control-plane,12574,5108,2871,3687,908,102,Envoy,github.com/envoyproxy
containerd+docker,containerd+containerd+continuity+cgroups+go-runc+console+btrfs+fifo+aufs+zfs+typeurl,8880,4993,2239,1012,636,96,containerd,containerd.io
opentracing,opentracing-java+specification+opentracing.io+opentracing-go+opentracing-cpp+opentracing-javascript+opentracing-php+opentracing-python+opentracing-ruby+opentracing-csharp+basictracer-python+opentracing-objc+contrib+basictracer-go+basictracer-javascript+basictracer-csharp,3919,2510,583,480,346,75,OpenTracing,opentracing.io
coreos+rkt,rkt+rkt+rkt-builder+stage1-xen,3374,2168,572,249,385,63,rkt,github.com/rkt/rkt
linkerd,linkerd+linkerd-examples+linkerd-tcp+tacho+linkerd-viz+linkerd-zipkin+linkerd-inject+namerctl+rustup-nightly-docker,5546,2002,1037,1698,809,61,linkerd,linkerd.io
containernetworking,cni+plugins,1878,1162,399,157,160,51,CNI,github.com/containernetworking
coredns,coredns+coredns.io+perf-tests+blog.coredns.io+new.coredns.io+deployment+grpc+ci+example+forward+logo+presentations+coredns-grpc,4769,2208,890,1080,591,44,CoreDNS,coredns.io
uber+jaegertracing,jaeger+jaeger+jaeger-kubernetes+jaeger-openshift+jaeger-client-java+jaeger-ui+spark-dependencies+jaeger-client-python+jaeger-client-go+jaeger-client-node+xdock-zipkin-brave+jaeger-client-javascript+cpp-client+jaeger-lib+jaeger-idl+artwork+go-repo-move-test+test-repo-move,4003,1666,831,1070,436,39,Jaeger,jaeger.readthedocs.io/en/latest/
docker+theupdateframework,notary+notary,1529,975,234,122,198,34,Notary,theupdateframework/notary
theupdateframework,tuf+taps+theupdateframework.github.io+specification+artwork,1382,526,326,437,93,24,TUF,theupdateframework.com
