org,repo,activity,comments,prs,commits,issues,authors,pushes,project,url
torvalds,linux,386836,320368,46887,66468,46887,3993,757,Linux,kernel.org
kubernetes+kubernetes-incubator+kubernetes-sigs+kubernetes-client+kubernetes-csi,kubernetes+test-infra+website+community+kops+ingress-nginx+minikube+kubespray+cluster-api+autoscaler+kubeadm+enhancements+service-catalog+federation-v2+kustomize+cluster-api-provider-aws+kind+kubespray+cloud-provider-openstack+org+ingress-gce+dashboard+perf-tests+aws-alb-ingress-controller+cri-o+kubebuilder+sig-release+external-dns+external-storage+controller-runtime+kube-aws+kube-state-metrics+java+cluster-api-provider-openstack+python+kubectl+contributor-playground+kube-batch+gcp-compute-persistent-disk-csi-driver+external-provisioner+cloud-provider-vsphere+metrics-server+aws-ebs-csi-driver+cluster-api-provider-vsphere+javascript+client-go+poseidon+cluster-api-provider-azure+release+kube-openapi+controller-tools+kubeadm-dind-cluster+k8s.io+csharp+kompose+docs+external-snapshotter+kube-arbitrator+cloud-provider-azure+heapster+csi-test+aws-iam-authenticator+publishing-bot+bootkube+kube-deploy+dns+application+contrib+node-problem-detector+steering+node-feature-discovery+external-attacher+python-base+git-sync+cri-tools+cluster-api-provider-gcp+repo-infra+descheduler+cri-tools+examples+cluster-registry+kubernetes-docs-ko+driver-registrar+drivers+node-feature-discovery+sig-storage-local-static-provisioner+gen+kubernetes-anywhere+klog+apiserver-builder+gengo+frakti+cloud-provider-aws+external-resizer+custom-metrics-apiserver+kubebuilder-declarative-pattern+sig-storage-lib-external-provisioner+features+cloud-provider-gcp+structured-merge-diff+kubernetes-docs-zh+utils+apiserver+kubernetes-docs-cn+csi-driver-host-path+apiextensions-apiserver+gcp-filestore-csi-driver+sample-controller+apimachinery+windows-testing+sample-apiserver+kube-aggregator+kubernetes-docs-ja+cluster-driver-registrar+haskell+federation+csi-lib-utils+kube-storage-version-migrator+code-generator+api+cloud-provider+node-driver-registrar+cloud-provider-alibaba-cloud+reference-docs+architecture-tracking+cluster-api-provider-digitalocean+apiserver-builder-alpha+livenessprobe+metrics+go+contributor-site+ruby+security+cluster-proportional-autoscaler+yaml+testing_frameworks+csi-release-tools+ip-masq-agent+azuredisk-csi-driver+k8s-container-image-promoter+windows-gmsa+kubernetes-template-project+csi-api+cli-runtime+sample-cli-plugin+csi-lib-iscsi+csi-driver-iscsi+cluster-capacity+etcdadm+mutating-trace-admission-controller++kube-scheduler+csi-driver-nfs+cluster-bootstrap+kube-controller-manager+kubernetes-csi-migration-library+azurefile-csi-driver+kube-proxy+go-base+csi-driver-fibre-channel+node-api+aws-encryption-provider+dashboard-metrics-scraper+kubelet+csi-translation-lib+typescript+kubernetes-csi.github.io+component-base+perl+spartakus+kubernetes-bootcamp+cloud-provider-sample+csi-driver-image-populator+multi-tenancy+alb-ingress-controller+csi-lib-fc+krew+krew-index+resources+cluster-proportional-vertical-autoscaler+rktlet+community+common+addon-operators+slack-infra+cli-experimental+++csi-driver-flex+cri-api,423682,327197,41512,29185,25510,3557,29463,Kubernetes,kubernetes.io
helm+kubernetes+kubernetes-helm,charts+charts+helm+helm+chart-testing+monocular+helm-www+community+chartmuseum+chartmuseum+hub+monocular+chart-releaser+community+github-webhook-dco-labeler+query-store-quay-logs+chart-testing+pull-sizer+rudder-appcontroller+charts-check-pr-title+repo-audit+rudder-federation+charts-tooling+helm-summit-notes+specs+charts-classic+prow+get-helm,60042,42324,8327,4904,4480,1522,4911,Helm,helm.sh
nodejs,node+i18n+build+modules+nodejs.org+docker-node+security-wg+node-addon-api+node-gyp+admin+node-chakracore+TSC+community-committee+package-maintenance+nodejs.dev+bootstrap+summit+diagnostics+citgm+Release+website-redesign+nodejs-ko+node-v8+user-feedback+llnode+mentorship+nan+node-core-utils+readable-stream+github-bot+promise-use-cases+website-prototype+repl,137439,87528,13841,26446,8782,1069,27288,Node.js,nodejs.org
cloudfoundry,cf-deployment+cli+bosh+cloud_controller_ng+uaa+capi-release+bosh-bootloader+bosh-cli+garden-runc-release+docs-bosh+bosh-linux-stemcell-builder+docs-dev-guide+cf-networking-release+bosh-deployment+diego-release+cf-acceptance-tests+java-buildpack+bosh-agent+php-buildpack+nodejs-buildpack+routing-release+bosh-vsphere-cpi-release+cf-java-client+loggregator-release+docs-buildpacks+log-cache+gorouter+go-buildpack+bosh-azure-cpi-release+bosh-softlayer-cpi-release+cf-deployment-concourse-tasks+cf-mysql-release+staticfile-buildpack+bosh-google-cpi-release+loggregator+ibm-websphere-liberty-buildpack+log-cache-cli+libbuildpack+syslog-release+go-loggregator,37769,12136,2861,15904,3151,639,19621,Cloud Foundry,cloudfoundry.org
grpc+grpc-ecosystem,grpc+grpc-java+grpc-go+grpc-gateway+grpc-node+grpc-swift+grpc-web+grpc-dotnet+grpc.github.io+grpc-dart+go-grpc-middleware+go-grpc-prometheus+proposal+grpc-proto+awesome-grpc+grpc-experiments+grpc-health-probe+polyglot+grpc-docker-library+grpc-opentracing+grpc-httpjson-transcoding+grpc-php+grpc-community+java-grpc-prometheus+grpc-java-api-checker+grpc-contrib+homebrew-grpc++grpc-exchange-o-gram++grpc-haskell,50649,31538,9527,4247,5231,523,4353,gRPC,grpc.io
prometheus,prometheus+alertmanager+tsdb+node_exporter+docs+client_golang+snmp_exporter+blackbox_exporter+client_python+prombench+client_java+mysqld_exporter+jmx_exporter+statsd_exporter+cloudwatch_exporter+procfs+pushgateway+common+graphite_exporter+promu+client_ruby+haproxy_exporter+golang-builder+busybox+memcached_exporter+consul_exporter+prom2json+client_model+influxdb_exporter+test-infra+talks+nagios_plugins+collectd_exporter+demo-site+demo+prometheus_api_client_ruby,35522,24332,4694,2758,3527,503,2969,Prometheus,prometheus.io
cncf+crosscloudci,landscape+devstats+k8s-conformance+gitdm+toc+apisnoop+cross-cloud+ambassadors+wg-serverless+landscapeapp+cnfs+crosscloudci+cnf-testbed+cluster+cncf-configuration+soc+artwork+velocity+svg-autocrop+foundation+ci-dashboard+devstats-example+presentations+onap-demo+contribute+ci_status_repository+prometheus-configuration+coredns-configuration+curriculum+envoy-configuration+crosscloudci-trigger+devstats-website+kubernetes-configuration+fluentd-configuration+servicedesk+enduser-public+onap-so-configuration+awards+devstatscode+json2hat+devstats-k8s-lf+linkerd-configuration+trailmap+wg-ci+artwork+devstats-docker-images+svg-website+build+wg-networking+devstats-docker-lf+meetups+hnanalysis+devstats-helm-lf+docs-in-a-box+gitlab-dashboard-updater+onap-ciservice+cross-project+json2hat-helm+site-boilerplate+cla+landscape-trailmap,17972,5109,2867,7721,1784,442,8212,CNCF,www.cncf.io
jenkinsci,configuration-as-code-plugin+slack-plugin+gitlab-plugin+docker+google-compute-engine-plugin+docker-plugin+ghprb-plugin+jenkinsfile-runner+code-coverage-api-plugin+pipeline-aws-plugin+cucumber-reports-plugin+openstack-cloud-plugin+custom-war-packager+prometheus-plugin+pipeline-github-plugin+office-365-connector-plugin+stashnotifier-plugin+tikal-multijob-plugin+windows-azure-storage-plugin+java-client-api+ec2-fleet-plugin+azure-ad-plugin+oic-auth-plugin+google-oauth-plugin+docker-jnlp-slave,15272,9273,2130,1661,2150,319,1719,Jenkins,jenkins.io
zephyrproject-rtos,zephyr+west,68076,47938,10564,4510,5031,300,4543,Zephyr,www.zephyrproject.org
