org,repo,activity,comments,prs,commits,issues,authors,pushes,project,url
torvalds,linux,536855,468247,71554,68608,71554,4822,935,Linux,kernel.org
kubernetes+kubernetes-sigs+kubernetes-client+kubernetes-csi,kubernetes+website+kueue+enhancements+cluster-api+test-infra+autoscaler+ingress-nginx+gateway-api-inference-extension+karpenter+external-dns+cloud-provider-azure+kubespray+gateway-api+minikube+k8s.io+kubebuilder+cluster-api-provider-azure+community+cluster-api-provider-aws+cluster-api-provider-ibmcloud+sig-release+aws-ebs-csi-driver+kops+cluster-api-provider-vsphere+vsphere-csi-driver+controller-runtime+node-feature-discovery+aws-load-balancer-controller+org+azuredisk-csi-driver+lws+jobset+azurefile-csi-driver+cluster-api-provider-openstack+descheduler+javascript+ingress-gce+kind+contributor-playground+dashboard+kernel-module-management+blob-csi-driver+gcp-compute-persistent-disk-csi-driver+security-profiles-operator+krew-index+perf-tests+image-builder+java+release+prow+cri-tools+kube-state-metrics+alibaba-cloud-csi-driver+cloud-provider-openstack+controller-tools+kustomize+cloud-provider-vsphere+scheduler-plugins+cloud-provider-aws+aws-efs-csi-driver+external-snapshotter+llm-instance-gateway+cluster-api-operator+kwok+cluster-api-provider-gcp+kubectl+cloud-provider-gcp+python+dra-example-driver+network-policy-api+external-snapshot-metadata+secrets-store-csi-driver+metrics-server+contributor-site+apiserver-network-proxy+kubeadm+csi-driver-nfs+mcs-api+cloud-provider-kind+gcp-filestore-csi-driver+kube-scheduler-simulator+csi-driver-smb+node-problem-detector+blixt+kjob+kube-network-policies+ibm-powervs-block-csi-driver+lwkd+inference-perf+aws-iam-authenticator+windows-testing+provider-aws-test-infra+ingress2gateway+kube-api-linter+promo-tools+cluster-api-addon-provider-helm+secrets-store-sync-controller+cve-feed-osv+zeitgeist+cli-utils+gengo+csi-driver-host-path+dns+wg-serving+external-provisioner+external-resizer+kube-openapi+e2e-framework+client-go+hydrophone+kompose+lib-volume-populator+structured-merge-diff+csharp+downloadkubernetes+system-validators+git-sync+aws-fsx-csi-driver+csi-proxy+apiserver+kube-scheduler-wasm-extension+node-ipam-controller+ibm-vpc-block-csi-driver+cluster-api-provider-cloudstack+tejolote+nat64+release-sdk+publishing-bot+boskos+container-object-storage-interface+cluster-api-ipam-provider-in-cluster+multicluster-runtime+ingate+windows-gmsa+sig-storage-local-static-provisioner+utils+kubebuilder-declarative-pattern+azurelustre-csi-driver+aws-encryption-provider+bom+sig-security+external-attacher+csi-driver-iscsi+provider-ibmcloud-test-infra+cluster-api-provider-digitalocean+node-driver-registrar+registry.k8s.io+api+csi-release-tools+custom-metrics-apiserver+c+apisnoop+container-object-storage-interface-api+reference-docs+code-generator+kubetest2+docs+knftables+release-utils+cluster-api-provider-kubevirt+gwctl+apimachinery+cluster-proportional-autoscaler+csi-test+cluster-api-provider-packet+livenessprobe+examples+node-feature-discovery-operator+prometheus-adapter+apiextensions-apiserver+krew+cni-dra-driver+ip-masq-agent+etcd-manager+sig-multicluster-site+sig-storage-lib-external-provisioner+steering+hierarchical-namespaces+testgrid+cloud-provider-alibaba-cloud+dynamic-resource-allocation+cloud-provider+nfs-subdir-external-provisioner+cosi-driver-sample+csi-lib-utils+component-base+kubectl-validate+sample-apiserver+release-actions+karpenter-provider-cluster-api+external-health-monitor+minikube-gui+mdtoc+kubelet+kube-aggregator+pod-security-admission+cluster-api-provider-kubemark+sig-windows-tools+committee-security-response+slack-infra+cluster-inventory-api+verify-conformance+about-api+sample-controller+controller-manager+kube-scheduler+cloud-provider-huaweicloud+cri-client+kube-controller-manager+endpointslice+mount-utils+usage-metrics-collector+cli-experimental+cli-runtime+gen+kube-proxy+component-helpers+metrics+sample-cli-plugin+network-policy-finalizer+container-object-storage-interface-provisioner-sidecar+work-api+cluster-proportional-vertical-autoscaler+nfs-ganesha-server-and-external-provisioner+maintainers+cri-api+csi-translation-lib+cluster-bootstrap+iptables-wrappers+kubebuilder-release-tools+cluster-capacity+json+release-notes+application+aws-fsx-openzfs-csi-driver+kms+cloud-provider-equinix-metal+haskell+volume-data-source-validator+crdify+kpng+aws-file-cache-csi-driver+multi-network+externaljwt+apiserver-runtime+container-object-storage-interface-controller+wg-device-management+wg-policy-prototypes+csi-driver-nvmf+cluster-api-provider-nested+community-images+obscli+ingress-controller-conformance+sig-auth-tools+maintainer-tools+cloud-provider-sample+logtools+kube-storage-version-migrator+depstat+etcdadm+container-object-storage-interface-spec+multi-network-api+node-api+dra-driver-cpu+csi-lib-iscsi+legacy-cloud-providers+kui+noderesourcetopology-api+sigs-github-actions+driver-registrar+externalip-webhook+apiserver-builder-alpha+ruby,493882,396018,38344,82771,14581,3539,44939,Kubernetes,kubernetes.io
pytorch,pytorch+executorch+ao+torchtune+xla+test-infra+torchtitan+rl+TensorRT+torchchat+FBGEMM+tutorials+tensordict+torchcodec+vision+torchrec+data+botorch+pytorch.github.io+benchmark+ignite+torchft+serve+docs+audio+captum+torchx+builder+kineto+examples+opacus+cpuinfo+text+functorch+tnt+pytorch_sphinx_theme+ci-infra+tlparse+gloo+extension-cpp+PiPPy+torcheval+expecttest+torchsnapshot+csprng+ort,573780,278227,64070,183529,20316,2648,211167,pytorch,pytorch.org
open-telemetry,opentelemetry-collector-contrib+opentelemetry.io+opentelemetry-collector+semantic-conventions+opentelemetry-java-instrumentation+opentelemetry-go-instrumentation+opentelemetry-go-contrib+opentelemetry-rust+opentelemetry-go+opentelemetry-python-contrib+opentelemetry-specification+opentelemetry-operator+opentelemetry-js+opentelemetry-java+opentelemetry-dotnet-contrib+opentelemetry-python+community+opentelemetry-js-contrib+opentelemetry-ebpf-profiler+opentelemetry-dotnet+opentelemetry-cpp+weaver+opentelemetry-dotnet-instrumentation+opentelemetry-java-contrib+opentelemetry-helm-charts+opentelemetry-demo+opentelemetry-go-build-tools+opentelemetry-android+opentelemetry-ruby-contrib+opentelemetry-collector-releases+otel-arrow+opentelemetry-rust-contrib+opentelemetry-lambda+opentelemetry-php+opentelemetry-swift+opentelemetry-erlang-contrib+opentelemetry-ruby+opentelemetry-proto+opentelemetry-php-contrib+oteps+opentelemetry-java-examples+opentelemetry-configuration+semantic-conventions-java+opentelemetry-proto-go+opamp-go+opentelemetry-ebpf-instrumentation+opentelemetry-erlang+sig-security+sig-end-user+opentelemetry-cpp-contrib+opamp-spec+opentelemetry-go-compile-instrumentation+opentelemetry-proto-java+build-tools+changelog.opentelemetry.io+opentelemetry-network+sig-project-infra+sig-contributor-experience+opentelemetry-php-instrumentation+opentelemetry-injector+opentelemetry-go-vanityurls+opentelemetry-sandbox-web-js+opentelemetry-network-build-tools+sig-developer-experience+.github+admin+sig-mainframe+cpp-build-tools+docs-cn+assign-reviewers-action+docs-ja+opentelemetry-sqlcommenter+gh-manager+people+.allstar+wg-prometheus+stackoverflow2slack,290274,190390,41572,44956,16363,1884,41949,OpenTelemetry,opentelemetry.io
zephyrproject-rtos,zephyr+hal_espressif+west+sdk-ng+zephyr-lang-rust+zephyr-testing+test_results+reqmgmt+gsoc-2022-arduino-core+docker-image+action-zephyr-setup+infrastructure+windows-curses+Kconfiglib+net-tools+zscilib+pr-dashboard+docker-sdk-build+openocd+docker-scancode,219781,179694,23265,22147,6017,1300,10805,Zephyr,www.zephyrproject.org
prometheus+prometheus-community+OpenObservability,prometheus+helm-charts+windows_exporter+alertmanager+client_golang+node_exporter+docs+ansible+client_java+jmx_exporter+blackbox_exporter+test-infra+snmp_exporter+proposals+common+postgres_exporter+client_python+yet-another-cloudwatch-exporter+elasticsearch_exporter+parquet-common+client_rust+avalanche+mysqld_exporter+procfs+pushgateway+exporter-toolkit+otlptranslator+stackdriver_exporter+statsd_exporter+smartctl_exporter+ecs_exporter+ipmi_exporter+pro-bing+node-exporter-textfile-collector-scripts+pgbouncer_exporter+cloudwatch_exporter+prom-label-proxy+compliance+prom2json+golang-builder+promlens+demo-site+sigv4+memcached_exporter+json_exporter+OpenMetrics+consul_exporter+promu+promci+systemd_exporter+graphite_exporter+bind_exporter+ux-research+PushProx+client_model+collectd_exporter+monaco-promql+client_ruby+governance+jiralert+fortigate_exporter+influxdb_exporter+otlp-prometheus-translator+OpenMetrics+community+promql-langserver+busybox+prometheus_api_client_ruby+parquet-wg+snmp+vscode-promql+prometheus-playground,53946,31895,8961,12595,3677,909,9413,Prometheus,prometheus.io
argoproj+argoproj-labs,argo-cd+argo-workflows+argo-helm+argo-rollouts+argocd-image-updater+argocd-operator+hera+gitops-promoter+terraform-provider-argocd+argocd-agent+argo-events+gitops-engine+argoproj-deployments+argocd-ephemeral-access+argoproj+rollouts-plugin-trafficrouter-gatewayapi+argocd-example-apps+argocd-rbac-operator+argo-rollouts-manager+argocd-autopilot+pkg+argocd-vault-plugin+notifications-engine+argo-ui+training-material+rollouts-plugin-trafficrouter-glooplatform+rollout-extension+argo-site+argocd-extension-metrics+argocd-extension-installer+rollouts-plugin-trafficrouter-contour+homebrew-tap+rollouts-plugin-trafficrouter-consul+community+rollouts-demo+rollouts-plugin-trafficrouter-openshift+argo-cd-benchmarking+argocd-monorepo-controller+argocd-ephemeral-access-sleep-plugin+rollouts-plugin-metric-opensearch+applicationset+argocd-notifications+argo-schema-generator+argocd-cmp-plugin-examples+argoproj.github.io+argocd-ephemeral-access-plugin-servicenow+argo-workflows-community-builds+argo-client-java+argo-client-gen,63810,39064,9245,10768,4672,867,10829,Argo,argoproj.github.io
backstage,backstage+community-plugins+demo+canon-docs+mkdocs-techdocs-core+charts+canon-storybook+community+actions+upgrade-helper-diff+versions+mkdocs-monorepo-plugin+software-templates+techdocs-container,71510,31156,9557,35404,2367,649,28430,Backstage,backstage.io
nodejs,node+nodejs.org+jenkins-alerts+undici+api-docs-tooling+build+corepack+TSC+amaro+release-cloudflare-worker+help+node-gyp+admin+bluesky+userland-migrations+docker-node+node-core-utils+security-wg+node-addon-api+import-in-the-middle+loaders+snap+Release+next-10+llhttp+node-v8+typescript+nan+package-maintenance+github-bot+citgm+gyp-next+email+nodejs-news-feeder+unofficial-builds+node-addon-examples+remark-preset-lint-node+performance+llparse+readable-stream+uvwasi+cjs-module-lexer+changelog-maker+create-node-meeting-artifacts+node-api-headers+nodejs-dist-indexer+require-in-the-middle+caritat+ncrypto+nodejs-dependency-vuln-assessments+.github+single-executable+release-keys+package-examples+branch-diff+commit-stream+node-code-ide-configs+is-my-node-vulnerable+lts-schedule+nodejs-latest-linker+standards-positions,106159,73560,9499,25620,5640,635,17460,Node.js,nodejs.org
meshery+meshery-extensions,meshery+meshery.io+meshkit+schemas+helm-kanvas-snapshot+meshsync+play+meshery-operator+scoop-bucket+shape-builder+helm-kanvas-snapshot+meshery-linkerd+meshery-istio+meshery-kuma+meshery-cilium+.github+.github+kubectl-meshsync-snapshot+meshery-linkerd+meshery-consul+meshery-adapter-library+kubectl-kanvas-snapshot+meshery-consul+meshery-nginx-sm+meet+meshery-traefik-mesh+meshery-istio+meshery-app-mesh+meshery-app-mesh+meshery-nighthawk+meshery-tanzu-sm+meshery-cpx+meshery-cilium+kubectl-meshsync-snapshot+slack+meshery-kuma+meshery-nsm+homebrew-tap+meshery-nsm+meshery-nighthawk+meshery-traefik-mesh+meshery-tanzu-sm+meshery-adapter-template+meshery-nginx-sm+meshery-cpx+meshery-adapter-template+kubectl-kanvas-snapshot+pvtr,33270,17561,6654,15473,2072,625,6983,Meshery,layer5.io/meshery
