project,url,label,activity,comments,prs,commits,issues,authors,sum_activity,sum_comments,sum_prs,sum_commits,sum_issues,sum_authors
Linux kernel,kernel.org,2016-01,20734,17625,4406,3109,4406,719,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-02,28992,24184,6046,4808,6046,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-03,27460,23424,5856,4036,5856,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-04,27742,23511,5877,4231,5877,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-05,23334,19751,4937,3583,4937,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-06,29637,25277,6319,4360,6319,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-07,22557,18729,4682,3828,4682,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-08,26622,22252,5563,4370,5563,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-09,25888,21098,5274,4790,5274,927,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-10,23361,19609,4902,3752,4902,927,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-11,26777,21870,5467,4907,5467,927,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-12,18355,15823,3955,2532,3955,927,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2017-01,27773,23183,5795,4590,5795,942,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2017-02,23412,19559,4889,3853,4889,942,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2017-03,30211,25409,6352,4802,6352,942,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2017-04,24046,19974,4993,4072,4993,942,406901,341278,85313,65623,85313,942
dotnet,microsoft.com/net,2016-01,8190,5933,779,760,718,158,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-02,9785,6943,873,1148,821,172,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-03,10489,7291,1124,1240,834,198,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-04,10203,7169,1000,1085,949,198,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-05,10649,7691,1008,1050,900,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-06,10094,7164,1021,1098,811,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-07,7991,5686,765,896,644,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-08,8313,5789,875,972,677,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-09,7460,5268,843,656,693,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-10,8884,6060,1120,995,709,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-11,9662,6754,1104,1080,724,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-12,7832,5521,890,785,636,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2017-01,9456,6520,1149,1057,730,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2017-02,9959,6964,1157,1134,704,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2017-03,12398,8623,1413,1388,974,268,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2017-04,17259,12177,1898,1877,1307,382,158624,111553,17019,17221,12831,382
Kubernetes,kubernetes.io,2016-01,6289,5211,548,199,331,73,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-02,6732,5409,632,161,530,73,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-03,7528,5917,699,275,637,73,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-04,7991,6396,775,216,604,97,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-05,9515,7456,939,407,713,176,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-06,9272,7368,893,309,702,176,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-07,8987,7039,927,331,690,176,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-08,10082,8099,1050,242,691,176,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-09,9567,7540,1057,362,608,176,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-10,11958,9402,1244,551,761,183,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-11,11668,9036,1274,632,726,185,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-12,13162,9797,1630,919,816,310,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2017-01,12697,9806,1381,736,774,310,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2017-02,14803,11366,1732,877,828,322,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2017-03,16136,12142,1786,1177,1031,373,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2017-04,20275,15815,1932,1299,1229,373,176662,137799,18499,8693,11671,373
DefinitelyTyped,definitelytyped.org,2016-01,1474,774,411,207,82,143,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2016-02,1572,849,361,281,81,196,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2016-03,1597,777,418,333,69,220,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2016-04,1299,674,325,247,53,220,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2016-05,1163,583,313,214,53,220,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2016-06,1278,667,338,213,60,220,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2016-07,1341,739,380,132,90,220,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2016-08,1899,961,460,384,94,245,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2016-09,2200,1269,579,231,121,245,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2016-10,1988,1106,627,148,107,245,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2016-11,2825,1626,510,567,122,326,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2016-12,1774,1065,462,165,82,326,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2017-01,1988,1174,530,172,112,326,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2017-02,2002,1149,455,288,110,326,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2017-03,2369,1464,434,361,110,326,29220,16180,7164,4412,1464,326
DefinitelyTyped,definitelytyped.org,2017-04,2451,1303,561,469,118,326,29220,16180,7164,4412,1464,326
NixOS,nixos.org,2016-01,4299,2677,518,925,179,201,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2016-02,3862,2300,502,732,328,201,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2016-03,4059,2512,546,830,171,201,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2016-04,3602,2175,554,658,215,201,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2016-05,3948,2362,552,827,207,224,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2016-06,3946,2391,561,778,216,224,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2016-07,4343,2701,592,892,158,224,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2016-08,4621,2859,560,999,203,224,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2016-09,5670,3446,707,1302,215,224,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2016-10,4264,2553,670,844,197,224,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2016-11,4029,2293,582,950,204,224,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2016-12,3638,2153,517,768,200,224,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2017-01,4041,2358,554,965,164,231,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2017-02,5114,2977,726,1158,253,255,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2017-03,6089,3360,917,1542,270,255,70538,42116,9705,15240,3477,273
NixOS,nixos.org,2017-04,5013,2999,647,1070,297,273,70538,42116,9705,15240,3477,273
Azure,azure.github.io,2016-01,2895,1408,605,733,149,256,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2016-02,3025,1432,582,813,198,256,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2016-03,2758,1343,538,679,198,256,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2016-04,1973,1096,178,507,192,256,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2016-05,3568,1967,520,746,335,262,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2016-06,3541,1925,521,798,297,262,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2016-07,2853,1601,432,597,223,262,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2016-08,2074,1174,345,375,180,262,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2016-09,4190,2445,613,745,387,262,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2016-10,4515,2682,614,773,446,262,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2016-11,4751,2911,597,739,504,262,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2016-12,2249,1340,359,330,220,262,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2017-01,3564,2060,558,619,327,262,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2017-02,4031,2266,745,675,345,262,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2017-03,5556,3120,952,921,563,262,56375,31666,8882,10824,5003,262
Azure,azure.github.io,2017-04,4832,2896,723,774,439,262,56375,31666,8882,10824,5003,262
